dc_key,race,sex,fatal,date,has_court_case,age,street_name,block_number,zip_code,council_district,police_district,neighborhood,house_district,senate_district,school_catchment,lng,lat
2.02407E+11,White (Non-Hispanic),Male,Nonfatal,2/24/2024 23:00,Yes,35,DENSMORE RD,400,19116,10,7,Somerton,170,5,Watson Comly School,-75.026203,40.12196600000001
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,2/24/2024 20:50,Yes,20,N BROAD ST,4200,19140,8,39,Nicetown-Tioga,198,3,Edward T. Steel School,-75.149566,40.017316
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,2/24/2024 9:36,No,19,N 57TH ST,1800,19131,4,19,Haddington-Overbrook,192,7,Universal Charter School at Bluford,-75.235904,39.97997899999999
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,2/23/2024 20:50,No,32,JUDSON ST,2800,19132,8,39,Nicetown-Tioga,197,3,Thomas M. Peirce School,-75.169869,39.997552
2.02435E+11,Black (Non-Hispanic),Female,Nonfatal,2/23/2024 19:56,Yes,33,STENTON AVE,4800,19144,8,35,Logan,198,3,Mastery Charter School at Wister,-75.158075,40.02988799999999
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,2/22/2024 17:22,Yes,19,W GORDON ST,2600,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.175327,39.991063999999994
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,2/22/2024 2:00,No,23,N 16TH ST,2400,19132,5,22,Sharswood-Stanton,197,3,Tanner G. Duckrey School,-75.158819,39.98990599999999
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/21/2024 18:22,No,23,N BROAD ST,6900,19126,9,35,Oak Lane - Fernrock,203,3,Ellwood School,-75.14027,40.058662999999996
2.02435E+11,Black (Non-Hispanic),Male,Fatal,2/20/2024 20:04,Yes,21,W SOMERVILLE AVE,500,19120,9,35,Olney-Feltonville,179,3,Thurgood Marshall School,-75.131484,40.03372600000001
2.02412E+11,Black (Non-Hispanic),Male,Fatal,2/20/2024 14:01,Yes,43,UPLAND ST,6700,19142,2,12,Paschall-Kingsessing,191,8,Joseph W. Catharine School,-75.238878,39.92539599999999
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,2/19/2024 13:47,No,38,N TAYLOR ST,2800,19132,4,39,Nicetown-Tioga,198,7,Thomas M. Peirce School,-75.171457,39.99787899999999
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/19/2024 5:32,No,57,PRATT ST,1300,19124,7,15,Frankford,179,2,The Philadelphia Charter School for Arts and Sciences,-75.082319,40.024913000000005
2.02424E+11,Black (Non-Hispanic),Male,Nonfatal,2/18/2024 23:44,No,34,E ST,2900,19134,7,24,Upper Kensington,180,2,Lewis Elkin School,-75.120229,39.993286999999995
2.02419E+11,Black (Non-Hispanic),Male,Nonfatal,2/18/2024 22:00,No,56,N 62ND ST,300,19139,4,19,Haddington-Overbrook,192,7,John Barry School,-75.243616,39.967423999999994
2.02426E+11,Hispanic (Black or White),Male,Nonfatal,2/18/2024 1:48,No,41,DIAMOND ST,100,19122,7,26,Northern Liberties-West Kensington,181,1,John Moffet School,-75.134067,39.981758
2.02426E+11,Hispanic (Black or White),Female,Nonfatal,2/18/2024 1:48,No,19,DIAMOND ST,100,19122,7,26,Northern Liberties-West Kensington,181,1,John Moffet School,-75.134067,39.981758
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/17/2024 16:23,No,31,ARROTT ST,1300,19124,7,15,Frankford,179,2,John Marshall School,-75.086378,40.01794899999999
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/17/2024 1:02,No,16,N 5TH ST,4800,19120,8,35,Olney-Feltonville,201,3,Thurgood Marshall School,-75.133124,40.024905000000004
2.02422E+11,Black (Non-Hispanic),Male,Fatal,2/16/2024 23:23,No,32,W ARIZONA ST,2500,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.174681,39.99155999999999
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/15/2024 23:44,No,18,ROSELYN ST,0,19120,9,35,Olney-Feltonville,203,3,Thomas K. Finletter School,-75.12021,40.041997
2.02402E+11,Black (Non-Hispanic),Male,Fatal,2/15/2024 20:54,No,20,ROSALIE ST,500,19120,9,2,Lawndale-Crescentville,203,2,Benjamin Franklin School,-75.103713,40.04324299999999
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,2/15/2024 15:34,No,18,WHITBY AVE,5400,19143,3,12,Paschall-Kingsessing,188,8,Avery D. Harrington School,-75.22965,39.945188999999985
2.02419E+11,Black (Non-Hispanic),Male,Fatal,2/15/2024 13:04,No,52,N 53RD ST,1800,19131,4,19,Overbrook Park-Wynnefield Heights,192,7,Mastery Charter School at Mann,-75.22854,39.985598999999986
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,2/15/2024 4:04,No,61,E WYOMING AVE,400,19120,7,25,Hunting Park-Fairhill,197,3,Clara Barton School,-75.116463,40.02065
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/14/2024 18:26,No,23,N BROAD ST,1700,19121,5,22,Sharswood-Stanton,181,3,General George G. Meade School,-75.157926,39.979023
2.02415E+11,Hispanic (Black or White),Male,Nonfatal,2/14/2024 17:44,No,18,E CHELTENHAM AVE,1300,19124,7,15,Frankford,179,2,The Philadelphia Charter School for Arts and Sciences,-75.083789,40.031206
2.02424E+11,Hispanic (Black or White),Male,Nonfatal,2/14/2024 11:07,Yes,42,KENSINGTON AVE,2800,19134,7,24,Upper Kensington,180,2,Lewis Elkin School,-75.121036,39.992376000000014
2.02439E+11,Black (Non-Hispanic),Female,Fatal,2/13/2024 15:48,No,32,N 17TH ST,3600,19140,8,39,Nicetown-Tioga,198,3,Mastery Charter School at Cleveland,-75.156309,40.008877
2.02439E+11,Black (Non-Hispanic),Male,Fatal,2/13/2024 15:48,No,30,N 17TH ST,3600,19140,8,39,Nicetown-Tioga,198,3,Mastery Charter School at Cleveland,-75.156309,40.008877
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/13/2024 12:22,Yes,50,TULIP ST,5900,19135,6,15,Wissinoming-Tacony,177,5,Henry W. Lawton School,-75.057892,40.015488
2.02415E+11,Black (Non-Hispanic),Male,Fatal,2/12/2024 18:42,Yes,36,BERMUDA ST,4300,19124,7,15,Frankford,177,2,Allen M. Stearne School,-75.082212,40.00412
2.02425E+11,Black (Non-Hispanic),Male,Nonfatal,2/12/2024 18:35,No,33,W PIKE ST,1300,19140,5,25,Nicetown-Tioga,197,3,Mary M. Bethune School,-75.148411,40.012052
2.02422E+11,Black (Non-Hispanic),Male,Fatal,2/12/2024 11:42,No,76,N 26TH ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.174682,39.992878
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/11/2024 1:26,No,17,N 19TH ST,2000,19121,5,22,Sharswood-Stanton,181,3,Mastery Charter School at Douglass,-75.164424,39.98526199999999
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,2/11/2024 1:26,No,15,N 19TH ST,2000,19121,5,22,Sharswood-Stanton,181,3,Mastery Charter School at Douglass,-75.164424,39.98526199999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/11/2024 1:24,No,18,N 19TH ST,2000,19121,5,22,Sharswood-Stanton,181,3,Mastery Charter School at Douglass,-75.164424,39.98526199999999
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/11/2024 0:06,No,35,W GODFREY AVE,1900,19141,8,35,Ogontz,201,4,Joseph Pennell School,-75.152153,40.04862599999999
2.02425E+11,Hispanic (Black or White),Male,Fatal,2/11/2024 0:00,No,22,N WARNOCK ST,3600,19140,5,25,Hunting Park-Fairhill,197,3,Mary M. Bethune School,-75.14554,40.00728800000001
2.02424E+11,Hispanic (Black or White),Male,Nonfatal,2/10/2024 21:42,No,21,E CAYUGA ST,1100,19124,7,24,Juniata Park-Harrowgate,180,2,Juniata Park Academy,-75.105287,40.01430599999999
2.02424E+11,Hispanic (Black or White),Male,Fatal,2/10/2024 20:36,No,26,N LEE ST,3100,19133,7,24,Hunting Park-Fairhill,180,2,Lewis Elkin School,-75.129028,39.997226999999995
2.02402E+11,Hispanic (Black or White),Male,Nonfatal,2/10/2024 15:18,Yes,20,N HILL CREEK DR,5500,19120,9,2,Lawndale-Crescentville,203,2,Universal Charter School at Creighton,-75.109738,40.038407
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,2/9/2024 22:00,No,14,N 18TH ST,2300,19132,5,22,Sharswood-Stanton,181,3,Tanner G. Duckrey School,-75.162295,39.98880200000001
2.02424E+11,Hispanic (Black or White),Male,Fatal,2/9/2024 21:25,No,15,RUTH ST,2900,19134,7,24,Upper Kensington,175,1,Frances E. Willard School,-75.119186,39.99266100000001
2.02409E+11,Black (Non-Hispanic),Male,Nonfatal,2/9/2024 18:54,Yes,17,S TANEY ST,400,19146,2,9,Center City West,182,1,Albert M. Greenfield School,-75.183374,39.947480999999996
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/9/2024 5:28,No,22,FRANKFORD AVE,4900,19124,7,15,Frankford,179,2,The Philadelphia Charter School for Arts and Sciences,-75.081033,40.019757
2.02425E+11,Hispanic (Black or White),Male,Fatal,2/8/2024 20:57,Yes,34,N 8TH ST,3600,19140,7,25,Hunting Park-Fairhill,197,3,Bayard Taylor School,-75.141658,40.00775399999999
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,2/8/2024 20:56,No,32,HOPE ST,3300,19140,7,25,Hunting Park-Fairhill,180,2,William Cramp School,-75.129431,40.00047599999999
2.02435E+11,Black (Non-Hispanic),Male,Fatal,2/7/2024 19:15,No,24,N LAWRENCE ST,4800,19120,8,35,Olney-Feltonville,179,3,Andrew J. Morrison School,-75.132364,40.024361000000006
2.02426E+11,Black (Non-Hispanic),Male,Nonfatal,2/6/2024 17:52,No,45,N DARIEN ST,2100,19122,5,26,Poplar-Temple,181,3,William McKinley School,-75.147231,39.984934
2.02418E+11,Black (Non-Hispanic),Female,Nonfatal,2/6/2024 17:20,Yes,27,S DEWEY ST,0,19139,3,18,Cobbs Creek,191,8,John Barry School,-75.243551,39.961888
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,2/6/2024 15:50,No,12,LINDBERGH BLVD,5300,19143,3,12,Airport-Navy Yard,186,8,Benjamin B. Comegys School,-75.214367,39.934373
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,2/6/2024 15:50,No,34,LINDBERGH BLVD,5300,19143,3,12,Airport-Navy Yard,186,8,Benjamin B. Comegys School,-75.214367,39.934373
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/5/2024 19:30,Yes,34,N BROAD ST,5600,19141,8,35,Ogontz,201,4,Julia W. Howe School,-75.144716,40.039515
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,2/5/2024 12:02,No,38,W OLNEY AVE,400,19120,9,35,Olney-Feltonville,179,3,James R. Lowell School,-75.129268,40.036333
2.02412E+11,Black (Non-Hispanic),Male,Fatal,2/4/2024 0:18,No,26,GRAYS AVE,6500,19142,2,12,Eastwick-Elmwood,185,8,Thomas G. Morton School,-75.231931,39.92331699999998
2.02415E+11,Hispanic (Black or White),Male,Fatal,2/3/2024 22:37,No,19,DUFFIELD ST,5000,19124,7,15,Frankford,179,2,Mastery Charter School at Smedley,-75.076862,40.019673000000004
2.02403E+11,White (Non-Hispanic),Female,Nonfatal,2/3/2024 22:23,No,35,MOUNTAIN ST,500,19148,1,3,Pennsport-Queen Village,184,1,Eliza B. Kirkbride School,-75.154477,39.92794000000001
2.02402E+11,Hispanic (Black or White),Male,Nonfatal,2/3/2024 11:17,No,23,ROBBINS ST,400,19111,9,2,Lawndale-Crescentville,202,2,J. Hampton Moore School,-75.097776,40.048941
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,2/3/2024 1:51,No,29,N 27TH ST,2500,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.176222,39.99362900000002
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/3/2024 1:22,No,27,SCATTERGOOD ST,1700,19124,7,15,Frankford,202,2,Mastery Charter School at Smedley,-75.074188,40.021589000000006
2.02414E+11,Black (Non-Hispanic),Male,Fatal,2/2/2024 13:03,No,19,SPRAGUE ST,5600,19138,8,14,Germantown,198,4,Mastery Charter School at Pastorius,-75.159529,40.047273
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,2/1/2024 23:00,No,23,N REESE ST,2700,19133,7,25,Hunting Park-Fairhill,197,2,Julia de Burgos School,-75.140696,39.99275999999999
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,2/1/2024 20:46,No,36,DARRAH ST,5100,19124,7,15,Frankford,179,2,Mastery Charter School at Smedley,-75.077648,40.02119499999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,1/31/2024 6:00,Yes,54,N 12TH ST,1300,19122,5,22,Poplar-Temple,181,1,Paul L. Dunbar School,-75.154902,39.97357599999999
2.02416E+11,Black (Non-Hispanic),Female,Fatal,1/30/2024 1:23,No,33,MELON ST,3900,19104,3,16,Mill Creek-Parkside,195,7,Belmont Charter School,-75.200743,39.964673999999995
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,1/29/2024 20:51,Yes,42,N 22ND ST,3100,19132,8,39,Nicetown-Tioga,198,3,Thomas M. Peirce School,-75.165882,40.00309
2.02419E+11,Black (Non-Hispanic),Male,Fatal,1/29/2024 13:37,Yes,19,N 55TH ST,1400,19131,4,19,Haddington-Overbrook,192,7,Edward Heston School,-75.231069,39.97389199999997
2.02401E+11,Black (Non-Hispanic),Male,Nonfatal,1/28/2024 22:53,No,38,JACKSON ST,2100,19145,2,1,South Broad-Girard Estates,186,8,Stephen Girard School,-75.181462,39.92461899999999
2.02416E+11,Black (Non-Hispanic),Male,Nonfatal,1/28/2024 9:35,No,51,MARKET ST,5200,19139,3,18,Cobbs Creek,190,7,Global Leadership Academy at Huey,-75.225288,39.959977
2.02418E+11,Black (Non-Hispanic),Male,Fatal,1/27/2024 23:30,Yes,29,S CECIL ST,800,19143,3,18,Cobbs Creek,188,8,Mastery Charter School at Harrity,-75.238986,39.947631
2.02415E+11,Hispanic (Black or White),Male,Nonfatal,1/27/2024 0:40,No,37,ORTHODOX ST,900,19124,7,15,Frankford,177,2,John Marshall School,-75.095438,40.01954100000002
20242505109,Black (Non-Hispanic),Male,Nonfatal,1/26/2024 20:46,No,36,W CAMBRIA ST,100,19133,7,25,Hunting Park-Fairhill,180,2,Isaac A. Sheppard School,-75.132011,39.994055
2.02412E+11,Black (Non-Hispanic),Male,Fatal,1/26/2024 19:24,No,28,PENTRIDGE ST,5600,19143,3,12,Paschall-Kingsessing,188,8,William C. Longstreth School,-75.231771,39.94081599999999
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,1/26/2024 19:24,No,36,PENTRIDGE ST,5600,19143,3,12,Paschall-Kingsessing,188,8,William C. Longstreth School,-75.231771,39.94081599999999
2.02412E+11,Black (Non-Hispanic),Female,Nonfatal,1/26/2024 19:24,No,55,PENTRIDGE ST,5600,19143,3,12,Paschall-Kingsessing,188,8,William C. Longstreth School,-75.231771,39.94081599999999
2.02425E+11,Black (Non-Hispanic),Female,Nonfatal,1/25/2024 19:36,No,30,N BROAD ST,3400,19140,5,25,Nicetown-Tioga,197,3,Mary M. Bethune School,-75.15192,40.00539299999999
2.02425E+11,Black (Non-Hispanic),Male,Nonfatal,1/25/2024 11:36,No,24,N BROAD ST,3400,19140,5,25,Nicetown-Tioga,197,3,Mary M. Bethune School,-75.15192,40.00539299999999
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,1/25/2024 3:08,No,52,N BANCROFT ST,2500,19132,5,22,Sharswood-Stanton,197,3,Tanner G. Duckrey School,-75.15904,39.991378999999995
2.02435E+11,Black (Non-Hispanic),Male,Nonfatal,1/25/2024 1:40,No,40,W ROCKLAND ST,1200,19141,8,35,Logan,201,3,Jay Cooke School,-75.143604,40.027136
2.02435E+11,Black (Non-Hispanic),Male,Fatal,1/24/2024 15:30,No,43,N HUTCHINSON ST,5100,19141,8,35,Logan,201,3,Lindley Academy Charter at Birney,-75.138829,40.02969600000001
2.02414E+11,Black (Non-Hispanic),Male,Nonfatal,1/24/2024 9:14,No,20,STENTON AVE,2200,19138,9,14,Ogontz,203,4,William Rowen School,-75.157893,40.05553000000001
2.02412E+11,Black (Non-Hispanic),Male,Fatal,1/21/2024 18:44,No,33,S 71ST ST,2500,19142,2,12,Eastwick-Elmwood,185,8,John M. Patterson School,-75.238915,39.91585400000001
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,1/21/2024 18:44,No,33,S 71ST ST,2500,19142,2,12,Eastwick-Elmwood,185,8,John M. Patterson School,-75.238915,39.91585400000001
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,1/21/2024 8:16,No,35,E ROCKLAND ST,100,19120,7,25,Olney-Feltonville,197,3,Clara Barton School,-75.123234,40.024575
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,1/21/2024 3:11,No,26,N CROSKEY ST,2700,19132,8,39,Nicetown-Tioga,197,3,Thomas M. Peirce School,-75.16815,39.995753
2.02425E+11,Hispanic (Black or White),Male,Nonfatal,1/20/2024 23:41,Yes,44,N HOWARD ST,4800,19120,7,25,Olney-Feltonville,197,3,Clara Barton School,-75.124896,40.02454000000001
2.02415E+11,Black (Non-Hispanic),Male,Fatal,1/19/2024 14:10,No,17,ROMAIN ST,4200,19124,7,15,Frankford,177,2,John Marshall School,-75.090419,40.010303
2.02416E+11,Black (Non-Hispanic),Male,Fatal,1/18/2024 15:41,No,18,N 51ST ST,0,19139,3,16,Haddington-Overbrook,190,7,Alain Locke School,-75.222846,39.960285000000006
2.02425E+11,Hispanic (Black or White),Male,Fatal,1/18/2024 2:11,No,31,N 5TH ST,4700,19120,7,25,Olney-Feltonville,197,3,Clara Barton School,-75.133277,40.023363999999994
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,1/16/2024 23:06,No,37,DYRE ST,1400,19124,7,15,Frankford,179,2,The Philadelphia Charter School for Arts and Sciences,-75.080297,40.02188499999999
2.02424E+11,Black (Non-Hispanic),Male,Fatal,1/16/2024 18:41,No,33,KENSINGTON AVE,3700,19124,1,24,Juniata Park-Harrowgate,177,5,John H. Webster School,-75.100296,40.003617
2.02412E+11,Black (Non-Hispanic),Male,Nonfatal,1/16/2024 17:27,No,31,BALTIMORE AVE,5700,19143,3,12,Paschall-Kingsessing,191,8,Add B. Anderson School,-75.238731,39.946136
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,1/15/2024 21:04,No,17,COTTMAN AVE,2800,19152,6,15,Mayfair-Holmesburg,177,2,Mayfair School,-75.053651,40.04418499999999
2.02418E+11,Black (Non-Hispanic),Female,Nonfatal,1/15/2024 13:01,Yes,25,S MELVILLE ST,200,19139,3,18,University City,188,8,Sadie Alexander School,-75.212694,39.955107
2.02415E+11,Hispanic (Black or White),Male,Nonfatal,1/15/2024 2:10,Yes,41,TYSON AVE,3000,19149,6,15,Mayfair-Holmesburg,172,2,Mayfair School,-75.054569,40.037966999999995
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,1/15/2024 0:52,No,21,N JESSUP ST,2500,19133,5,22,Poplar-Temple,181,3,Mastery Charter School at Clymer,-75.150292,39.99124499999999
2.02416E+11,Black (Non-Hispanic),Male,Nonfatal,1/15/2024 0:45,No,34,FILBERT ST,3800,19104,3,16,University City,190,7,Samuel Powel School,-75.199464,39.957622
2.02412E+11,Asian,Male,Nonfatal,1/14/2024 15:17,No,66,W PASSYUNK AVE,6000,19153,2,1,Airport-Navy Yard,191,8,Universal Charter School at Alcorn,-75.201857,39.91983
2.02416E+11,Black (Non-Hispanic),Male,Nonfatal,1/14/2024 9:49,No,32,N 42ND ST,700,19104,3,16,Mill Creek-Parkside,190,7,Alain Locke School,-75.207302,39.964787
2.02402E+11,Hispanic (Black or White),Male,Nonfatal,1/14/2024 3:47,No,21,HOWLAND ST,5400,19124,9,2,Lawndale-Crescentville,203,2,Universal Charter School at Creighton,-75.103644,40.033922999999994
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,1/14/2024 0:50,No,34,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,1/14/2024 0:50,No,42,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02422E+11,Black (Non-Hispanic),Female,Nonfatal,1/14/2024 0:50,No,23,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02422E+11,Black (Non-Hispanic),Male,Fatal,1/14/2024 0:50,No,53,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,1/14/2024 0:50,No,28,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02422E+11,Black (Non-Hispanic),Male,Fatal,1/14/2024 0:50,No,41,N MYRTLEWOOD ST,2400,19132,5,22,Strawberry Mansion,195,7,Richard R. Wright School,-75.180527,39.993258
2.02435E+11,Black (Non-Hispanic),Male,Fatal,1/13/2024 21:50,No,30,W ROCKLAND ST,1500,19141,8,35,Logan,198,3,James Logan School,-75.1494,40.027908
2.02439E+11,Black (Non-Hispanic),Male,Nonfatal,1/13/2024 20:21,Yes,30,N 17TH ST,4200,19140,8,39,Nicetown-Tioga,198,3,Edward T. Steel School,-75.154184,40.01841199999999
2.02422E+11,Black (Non-Hispanic),Male,Nonfatal,1/12/2024 12:10,No,46,N 19TH ST,1900,19121,5,22,Strawberry Mansion,181,3,Mastery Charter School at Douglass,-75.165166,39.982944999999994
2.02415E+11,Black (Non-Hispanic),Male,Nonfatal,1/11/2024 23:24,No,20,MARLOW ST,5200,19124,7,15,Frankford,179,2,Mastery Charter School at Smedley,-75.075062,40.019783000000004
2.02409E+11,Black (Non-Hispanic),Male,Fatal,1/11/2024 21:29,Yes,16,MARKET ST,1500,19102,5,9,Center City West,182,1,Albert M. Greenfield School,-75.166064,39.952611
2.02435E+11,Black (Non-Hispanic),Male,Fatal,1/11/2024 20:46,Yes,31,N 6TH ST,5800,19120,9,35,Olney-Feltonville,179,3,James R. Lowell School,-75.13126,40.04085899999997
2.02402E+11,Black (Non-Hispanic),Male,Nonfatal,1/11/2024 19:19,Yes,48,SHISLER ST,6100,19149,9,2,Oxford Circle,202,2,Laura H. Carnell School,-75.082924,40.038139000000015
2.02419E+11,Hispanic (Black or White),Female,Fatal,1/11/2024 14:49,No,33,MASTER ST,5400,19131,4,19,Haddington-Overbrook,192,7,Edward Heston School,-75.230702,39.973726
